,index,binned,distance,position
90435,48,,0.32405046,48484848.485
90436,49,,0.31948623,49494949.495
90437,50,,0.32269102,50505050.505
90438,51,,0.3210984,51515151.515
90439,52,,0.3255548,52525252.525
90440,53,,0.31865636,53535353.535
90441,54,,0.3222443,54545454.545
90442,55,,0.3183641,55555555.556
90443,56,,0.32064763,56565656.566
90444,57,,0.31318986,57575757.576
90445,58,,0.32295123,58585858.586
90446,59,,0.3198201,59595959.596
90447,60,,0.3168668,60606060.606
90448,61,,0.31634945,61616161.616
90449,62,,0.31455192,62626262.626
90450,63,,0.308576,63636363.636
90451,64,,0.3078484,64646464.646
90452,65,,0.3128495,65656565.657
90453,66,,0.31646588,66666666.667
90454,67,,0.3146311,67676767.677
90455,68,,0.30567056,68686868.687
90456,69,,0.30356106,69696969.697
90457,70,,0.31512976,70707070.707
90458,71,,0.30623162,71717171.717
90459,72,,0.3058627,72727272.727
90460,73,,0.30458626,73737373.737
90461,74,,0.3155276,74747474.747
90462,75,,0.31116578,75757575.758
90463,76,,0.3056152,76767676.768
90464,77,,0.31176955,77777777.778
90465,78,,0.31209502,78787878.788
90466,79,,0.3156511,79797979.798
90467,80,,0.3085674,80808080.808
90468,81,,0.30956435,81818181.818
90469,82,,0.30943245,82828282.828
90470,83,,0.309866,83838383.838
90471,84,,0.2937889,84848484.848
90472,85,,0.2923073,85858585.859
90473,86,,0.28636348,86868686.869
90474,87,,0.2877113,87878787.879
90475,88,,0.29421481,88888888.889
90476,89,,0.30294037,89898989.899
90477,90,,0.2877179,90909090.909
90478,91,,0.28544924,91919191.919
90479,92,,0.28880143,92929292.929
90480,93,,0.30123672,93939393.939
90481,94,,0.29311284,94949494.949
90482,95,,0.29466188,95959595.96
90483,96,,0.28992078,96969696.97
90484,97,,0.26263765,97979797.98
90485,98,,0.21911687,98989898.99
90486,0,,0.44980323,0.0
90487,1,,0.37993157,1010101.01
90488,2,,0.37186557,2020202.02
90489,3,,0.36726502,3030303.03
90490,4,,0.3626335,4040404.04
90491,5,,0.3580093,5050505.051
90492,6,,0.34919748,6060606.061
90493,7,,0.34696618,7070707.071
90494,8,,0.3518234,8080808.081
90495,9,,0.35045063,9090909.091
90496,10,,0.34383526,10101010.101
90497,11,,0.3463949,11111111.111
90498,12,,0.3448972,12121212.121
90499,13,,0.3365704,13131313.131
90500,14,,0.34323898,14141414.141
90501,15,,0.34762326,15151515.152
90502,16,,0.3459949,16161616.162
90503,17,,0.3519965,17171717.172
90504,18,,0.3503648,18181818.182
90505,19,,0.35037974,19191919.192
90506,20,,0.34370694,20202020.202
90507,21,,0.34436935,21212121.212
90508,22,,0.33848026,22222222.222
90509,23,,0.34604335,23232323.232
90510,24,,0.33314988,24242424.242
90511,25,,0.34799874,25252525.253
90512,26,,0.33980405,26262626.263
90513,27,,0.34458745,27272727.273
90514,28,,0.33983117,28282828.283
90515,29,,0.3349665,29292929.293
90516,30,,0.343713,30303030.303
90517,31,,0.34427774,31313131.313
90518,32,,0.34418854,32323232.323
90519,33,,0.34510225,33333333.333
90520,34,,0.33128008,34343434.343
90521,35,,0.3393378,35353535.354
90522,36,,0.3339557,36363636.364
90523,37,,0.33938786,37373737.374
90524,38,,0.33719927,38383838.384
90525,39,,0.3362991,39393939.394
90526,40,,0.3451652,40404040.404
90527,41,,0.34945482,41414141.414
90528,42,,0.33916664,42424242.424
90529,43,,0.35146564,43434343.434
90530,44,,0.3404855,44444444.444
90531,45,,0.33977962,45454545.455
90532,46,,0.3430104,46464646.465
90533,47,,0.34873477,47474747.475
90534,48,,0.35864538,48484848.485
90535,49,,0.34223473,49494949.495
90536,50,,0.35401338,50505050.505
90537,51,,0.35673305,51515151.515
90538,52,,0.34939507,52525252.525
90539,53,,0.34104452,53535353.535
90540,54,,0.34700438,54545454.545
90541,55,,0.35126773,55555555.556
