,index,binned,distance,position
3191,23,,0.12937485,1161616.162
3192,24,,0.11780373,1212121.212
3193,25,,0.12112695,1262626.263
3194,26,,0.11628632,1313131.313
3195,27,,0.115888365,1363636.364
3196,28,,0.11199271,1414141.414
3197,29,,0.12051959,1464646.465
3198,30,,0.1168708,1515151.515
3199,31,,0.12871231,1565656.566
3200,32,,0.11921555,1616161.616
3201,33,,0.120469704,1666666.667
3202,34,,0.12353668,1717171.717
3203,35,,0.12632121,1767676.768
3204,36,,0.1214721,1818181.818
3205,37,,0.11878982,1868686.869
3206,38,,0.113775134,1919191.919
3207,39,,0.122452706,1969696.97
3208,40,,0.12062403,2020202.02
3209,41,,0.12350139,2070707.071
3210,42,,0.12307696,2121212.121
3211,43,,0.12340806,2171717.172
3212,44,,0.117550455,2222222.222
3213,45,,0.12419217,2272727.273
3214,46,,0.122285694,2323232.323
3215,47,,0.1258129,2373737.374
3216,48,,0.11362304,2424242.424
3217,49,,0.12582019,2474747.475
3218,50,,0.11663021,2525252.525
3219,51,,0.12243285,2575757.576
3220,52,,0.12070216,2626262.626
3221,53,,0.12894341,2676767.677
3222,54,,0.12692422,2727272.727
3223,55,,0.14224519,2777777.778
3224,56,,0.12522449,2828282.828
3225,57,,0.13941668,2878787.879
3226,58,,0.12552644,2929292.929
3227,59,,0.12596613,2979797.98
3228,60,,0.114571854,3030303.03
3229,61,,0.12925993,3080808.081
3230,62,,0.13036516,3131313.131
3231,63,,0.11829076,3181818.182
3232,64,,0.11000929,3232323.232
3233,65,,0.11177715,3282828.283
3234,66,,0.118383154,3333333.333
3235,67,,0.10589884,3383838.384
3236,68,,0.111779936,3434343.434
3237,69,,0.11668309,3484848.485
3238,70,,0.10862214,3535353.535
3239,71,,0.10747523,3585858.586
3240,72,,0.10284504,3636363.636
3241,73,,0.11286957,3686868.687
3242,74,,0.10367001,3737373.737
3243,75,,0.114514925,3787878.788
3244,76,,0.11749359,3838383.838
3245,77,,0.12250874,3888888.889
3246,78,,0.12501527,3939393.939
3247,79,,0.1129534,3989898.99
3248,80,,0.10248868,4040404.04
3249,81,,0.11636951,4090909.091
3250,82,,0.11689828,4141414.141
3251,83,,0.111789115,4191919.192
3252,84,,0.11619102,4242424.242
3253,85,,0.13327648,4292929.293
3254,86,,0.10375202,4343434.343
3255,87,,0.108995065,4393939.394
3256,88,,0.1274751,4444444.444
3257,89,,0.13277507,4494949.495
3258,90,,0.107816584,4545454.545
3259,91,,0.12009517,4595959.596
3260,92,,0.11619084,4646464.646
3261,93,,0.09111514,4696969.697
3262,94,,0.084842995,4747474.747
3263,95,,0.10648416,4797979.798
3264,96,,0.10563122,4848484.848
3265,97,,0.09773663,4898989.899
3266,98,,0.067994766,4949494.949
3267,0,,0.1524651,0.0
3268,1,,0.15105549,50505.051
3269,2,,0.14785822,101010.101
3270,3,,0.14359206,151515.152
3271,4,,0.13955033,202020.202
3272,5,,0.13581313,252525.253
3273,6,,0.13088825,303030.303
3274,7,,0.12638433,353535.354
3275,8,,0.1239174,404040.404
3276,9,,0.12295292,454545.455
3277,10,,0.12178002,505050.505
3278,11,,0.12112803,555555.556
3279,12,,0.11947779,606060.606
3280,13,,0.1198823,656565.657
3281,14,,0.11701675,707070.707
3282,15,,0.11882228,757575.758
3283,16,,0.114563435,808080.808
3284,17,,0.11650227,858585.859
3285,18,,0.11380378,909090.909
3286,19,,0.110826895,959595.96
3287,20,,0.11178957,1010101.01
3288,21,,0.11373564,1060606.061
3289,22,,0.112455525,1111111.111
3290,23,,0.1127885,1161616.162
3291,24,,0.112228505,1212121.212
3292,25,,0.11404361,1262626.263
3293,26,,0.11429847,1313131.313
3294,27,,0.11539362,1363636.364
3295,28,,0.10967434,1414141.414
3296,29,,0.113634415,1464646.465
3297,30,,0.109849274,1515151.515
3298,31,,0.112364456,1565656.566
3299,32,,0.11330692,1616161.616
3300,33,,0.113497615,1666666.667
3301,34,,0.11114121,1717171.717
3302,35,,0.11125185,1767676.768
3303,36,,0.11357563,1818181.818
3304,37,,0.11092421,1868686.869
3305,38,,0.10769641,1919191.919
3306,39,,0.10972312,1969696.97
3307,40,,0.107352704,2020202.02
3308,41,,0.10523855,2070707.071
3309,42,,0.104645364,2121212.121
3310,43,,0.10765059,2171717.172
3311,44,,0.103190556,2222222.222
3312,45,,0.105548866,2272727.273
3313,46,,0.108265236,2323232.323
3314,47,,0.10739727,2373737.374
3315,48,,0.10691323,2424242.424
3316,49,,0.10830356,2474747.475
3317,50,,0.11161712,2525252.525
3318,51,,0.11010346,2575757.576
3319,52,,0.11422085,2626262.626
3320,53,,0.11477479,2676767.677
3321,54,,0.11424038,2727272.727
3322,55,,0.11415711,2777777.778
3323,56,,0.11792562,2828282.828
3324,57,,0.11649261,2878787.879
3325,58,,0.11880193,2929292.929
3326,59,,0.11517237,2979797.98
3327,60,,0.11746595,3030303.03
3328,61,,0.11626045,3080808.081
3329,62,,0.11808025,3131313.131
3330,63,,0.114626296,3181818.182
3331,64,,0.1185667,3232323.232
3332,65,,0.11420065,3282828.283
3333,66,,0.116554774,3333333.333
3334,67,,0.11747753,3383838.384
3335,68,,0.117639326,3434343.434
3336,69,,0.12114236,3484848.485
3337,70,,0.12508984,3535353.535
3338,71,,0.12412722,3585858.586
3339,72,,0.12473702,3636363.636
3340,73,,0.11844339,3686868.687
3341,74,,0.1175245,3737373.737
3342,75,,0.12023152,3787878.788
3343,76,,0.11529821,3838383.838
3344,77,,0.1168555,3888888.889
3345,78,,0.11163736,3939393.939
3346,79,,0.11368329,3989898.99
3347,80,,0.111270644,4040404.04
3348,81,,0.11223129,4090909.091
3349,82,,0.11211018,4141414.141
3350,83,,0.113806576,4191919.192
3351,84,,0.110331915,4242424.242
3352,85,,0.118186064,4292929.293
3353,86,,0.11026027,4343434.343
3354,87,,0.11844253,4393939.394
3355,88,,0.11149439,4444444.444
3356,89,,0.113146044,4494949.495
3357,90,,0.11218677,4545454.545
3358,91,,0.12059988,4595959.596
3359,92,,0.118347734,4646464.646
3360,93,,0.11729742,4696969.697
3361,94,,0.114711,4747474.747
3362,95,,0.13076808,4797979.798
3363,96,,0.113320105,4848484.848
3364,97,,0.11220183,4898989.899
3365,98,,0.07341625,4949494.949
3366,0,,0.35379538,0.0
3367,1,,0.31540918,50505.051
3368,2,,0.28800634,101010.101
3369,3,,0.26094815,151515.152
3370,4,,0.24516429,202020.202
3371,5,,0.23841803,252525.253
3372,6,,0.22570008,303030.303
3373,7,,0.21601996,353535.354
3374,8,,0.20465761,404040.404
3375,9,,0.19469504,454545.455
3376,10,,0.19127432,505050.505
3377,11,,0.19415684,555555.556
3378,12,,0.1889303,606060.606
3379,13,,0.19136065,656565.657
3380,14,,0.18717913,707070.707
3381,15,,0.17854047,757575.758
3382,16,,0.16991211,808080.808
3383,17,,0.1689597,858585.859
3384,18,,0.1671492,909090.909
3385,19,,0.16302726,959595.96
3386,20,,0.1625571,1010101.01
3387,21,,0.16056585,1060606.061
3388,22,,0.15561795,1111111.111
3389,23,,0.14462274,1161616.162
3390,24,,0.13423026,1212121.212
3391,25,,0.13032208,1262626.263
3392,26,,0.12422145,1313131.313
3393,27,,0.11855947,1363636.364
3394,28,,0.114762075,1414141.414
3395,29,,0.114713825,1464646.465
3396,30,,0.11547005,1515151.515
3397,31,,0.11664887,1565656.566
3398,32,,0.11644537,1616161.616
3399,33,,0.11723098,1666666.667
3400,34,,0.1166612,1717171.717
3401,35,,0.11528462,1767676.768
3402,36,,0.109240174,1818181.818
3403,37,,0.11245493,1868686.869
3404,38,,0.110833354,1919191.919
3405,39,,0.11364673,1969696.97
3406,40,,0.11861386,2020202.02
3407,41,,0.11349413,2070707.071
3408,42,,0.11277833,2121212.121
3409,43,,0.10973029,2171717.172
3410,44,,0.10357244,2222222.222
3411,45,,0.09802836,2272727.273
3412,46,,0.095503524,2323232.323
3413,47,,0.09237777,2373737.374
3414,48,,0.09263467,2424242.424
3415,49,,0.0956745,2474747.475
3416,50,,0.09607492,2525252.525
3417,51,,0.09923308,2575757.576
3418,52,,0.10139864,2626262.626
3419,53,,0.1008802,2676767.677
3420,54,,0.10162061,2727272.727
3421,55,,0.10340832,2777777.778
3422,56,,0.102496445,2828282.828
3423,57,,0.09757319,2878787.879
3424,58,,0.099478245,2929292.929
3425,59,,0.0958701,2979797.98
3426,60,,0.09085226,3030303.03
3427,61,,0.091703884,3080808.081
3428,62,,0.09091964,3131313.131
3429,63,,0.089217305,3181818.182
3430,64,,0.08416488,3232323.232
3431,65,,0.08497879,3282828.283
3432,66,,0.08043268,3333333.333
3433,67,,0.08453642,3383838.384
3434,68,,0.0829427,3434343.434
3435,69,,0.07992723,3484848.485
3436,70,,0.08469718,3535353.535
3437,71,,0.085042976,3585858.586
3438,72,,0.08849228,3636363.636
3439,73,,0.09522994,3686868.687
3440,74,,0.09092793,3737373.737
3441,75,,0.09176469,3787878.788
3442,76,,0.090732835,3838383.838
