,Unnamed: 0,index,binned,distance,position
270,270,95,,0.14635299,271428.571
271,271,96,,0.1479961,274285.714
272,272,97,,0.14574693,277142.857
273,273,98,,0.15172395,280000.0
274,274,99,,0.1453875,282857.143
275,275,100,,0.14854153,285714.286
276,276,101,,0.15463546,288571.429
277,277,102,,0.15507057,291428.571
278,278,103,,0.16138077,294285.714
279,279,104,,0.15950297,297142.857
280,280,105,,0.1607507,300000.0
281,281,106,,0.1577831,302857.143
282,282,107,,0.15724322,305714.286
283,283,108,,0.16224614,308571.429
284,284,109,,0.1627637,311428.571
285,285,110,,0.16596104,314285.714
286,286,111,,0.16410999,317142.857
287,287,112,,0.1686622,320000.0
288,288,113,,0.17006056,322857.143
289,289,114,,0.16618885,325714.286
290,290,115,,0.16498464,328571.429
291,291,116,,0.16972637,331428.571
292,292,117,,0.17164932,334285.714
293,293,118,,0.16898568,337142.857
294,294,119,,0.16837898,340000.0
295,295,120,,0.16832027,342857.143
296,296,121,,0.17374654,345714.286
297,297,122,,0.17291059,348571.429
298,298,123,,0.16846932,351428.571
299,299,124,,0.16886914,354285.714
300,300,125,,0.17201059,357142.857
301,301,126,,0.16435814,360000.0
302,302,127,,0.16413598,362857.143
303,303,128,,0.16912074,365714.286
304,304,129,,0.16482726,368571.429
305,305,130,,0.16218433,371428.571
306,306,131,,0.16206504,374285.714
307,307,132,,0.1672558,377142.857
308,308,133,,0.15863125,380000.0
309,309,134,,0.15992627,382857.143
310,310,135,,0.16100626,385714.286
311,311,136,,0.16355424,388571.429
312,312,137,,0.16316874,391428.571
313,313,138,,0.16246833,394285.714
314,314,139,,0.16095825,397142.857
315,315,140,,0.16142006,400000.0
316,316,141,,0.16060844,402857.143
317,317,142,,0.16288774,405714.286
318,318,143,,0.1704052,408571.429
319,319,144,,0.17018956,411428.571
320,320,145,,0.16769278,414285.714
321,321,146,,0.16005069,417142.857
322,322,147,,0.15700729,420000.0
323,323,148,,0.15440643,422857.143
324,324,149,,0.16031839,425714.286
325,325,150,,0.15610458,428571.429
326,326,151,,0.17026626,431428.571
327,327,152,,0.17395733,434285.714
328,328,153,,0.16608405,437142.857
329,329,154,,0.17040758,440000.0
330,330,155,,0.16265741,442857.143
331,331,156,,0.15599367,445714.286
332,332,157,,0.15427113,448571.429
333,333,158,,0.15331833,451428.571
334,334,159,,0.16359936,454285.714
335,335,160,,0.16093051,457142.857
336,336,161,,0.15212408,460000.0
337,337,162,,0.17687355,462857.143
338,338,163,,0.1675985,465714.286
339,339,164,,0.16058622,468571.429
340,340,165,,0.14287113,471428.571
341,341,166,,0.13734107,474285.714
342,342,167,,0.14830543,477142.857
343,343,168,,0.15145235,480000.0
344,344,169,,0.16187169,482857.143
345,345,170,,0.18411031,485714.286
346,346,171,,0.17578255,488571.429
347,347,172,,0.1685704,491428.571
348,348,173,,0.17637281,494285.714
349,349,174,,0.14777176,497142.857
350,350,0,,0.2129356,0.0
351,351,1,,0.2057764,2857.143
352,352,2,,0.20524897,5714.286
353,353,3,,0.20023455,8571.429
354,354,4,,0.19906986,11428.571
355,355,5,,0.20300423,14285.714
356,356,6,,0.19452772,17142.857
357,357,7,,0.19685999,20000.0
358,358,8,,0.19325231,22857.143
359,359,9,,0.18486457,25714.286
360,360,10,,0.19013982,28571.429
361,361,11,,0.19171962,31428.571
362,362,12,,0.18935484,34285.714
363,363,13,,0.1879153,37142.857
364,364,14,,0.1863212,40000.0
365,365,15,,0.18263142,42857.143
366,366,16,,0.17878,45714.286
367,367,17,,0.18181352,48571.429
368,368,18,,0.17855582,51428.571
369,369,19,,0.18152064,54285.714
370,370,20,,0.17848706,57142.857
371,371,21,,0.17489935,60000.0
372,372,22,,0.17273103,62857.143
373,373,23,,0.1729666,65714.286
374,374,24,,0.17021671,68571.429
